Year,Month,mean_temp,ice_extent
1999,5,15.5,13.750967741935485
1999,6,20.4,11.779166666666667
1999,7,24.3,9.488290322580644
1999,8,20.3,7.225580645161292
1999,9,18.0,6.116866666666667
1999,10,9.4,8.602806451612905
1999,11,5.8,10.796466666666667
1999,12,-0.7,12.641193548387097
2000,1,-5.8,14.22035483870968
2000,2,-3.1,15.14148275862069
2000,3,4.5,15.224838709677421
2000,4,6.7,14.558166666666665
2000,5,14.3,13.15267741935484
2000,6,18.2,11.665233333333337
2000,7,20.1,9.512999999999998
2000,8,20.6,7.168322580645163
2000,9,15.9,6.246066666666667
2000,10,11.2,8.37941935483871
2000,11,3.6,10.3211
2000,12,-7.2,12.63725806451613
2001,1,-4.1,14.202612903225804
2001,2,-3.0,15.211142857142857
2001,3,-0.3,15.51632258064516
2001,4,8.3,14.856833333333332
2001,5,14.8,13.50961290322581
2001,6,19.7,11.455933333333332
2001,7,21.0,9.070354838709674
2001,8,23.2,7.4608064516129025
2001,9,16.7,6.732166666666667
2001,10,10.6,8.298290322580646
2001,11,7.1,10.657833333333333
2001,12,1.7,12.490741935483873
2002,1,-0.5,14.272612903225806
2002,2,-1.3,15.342357142857145
2002,3,0.4,15.348903225806449
2002,4,7.3,14.299433333333333
2002,5,10.9,12.970612903225806
2002,6,19.1,11.583400000000001
2002,7,24.2,9.274161290322581
2002,8,22.6,6.599000000000002
2002,9,20.2,5.827133333333333
2002,10,8.9,8.161903225806451
2002,11,3.2,10.341866666666668
2002,12,-2.0,12.608451612903226
2003,1,-8.3,14.390838709677421
2003,2,-7.0,15.193142857142856
2003,3,-0.7,15.48490322580645
2003,4,5.7,14.512066666666666
2003,5,12.3,13.016064516129033
2003,6,18.3,11.604033333333332
2003,7,21.8,9.21477419354839
2003,8,22.1,6.935870967741936
2003,9,17.0,6.1160999999999985
2003,10,9.1,7.848290322580646
2003,11,4.7,10.125333333333336
2003,12,-0.1,12.588354838709675
2004,1,-9.4,14.026419354838708
2004,2,-3.8,14.914379310344827
2004,3,2.3,14.99258064516129
2004,4,7.0,13.987333333333332
2004,5,13.2,12.558419354838708
2004,6,17.6,11.447066666666668
2004,7,20.7,9.431354838709677
2004,8,19.5,6.854838709677417
2004,9,18.4,5.9845
2004,10,10.7,7.925290322580645
2004,11,5.4,10.343266666666668
2004,12,-2.8,12.55358064516129
2005,1,-6.8,13.661451612903226
2005,2,-4.0,14.372857142857141
2005,3,-1.6,14.686612903225809
2005,4,7.8,14.089833333333337
2005,5,11.9,12.911096774193547
2005,6,22.6,11.162033333333333
2005,7,24.1,8.648741935483873
2005,8,22.5,6.301129032258062
2005,9,19.0,5.503766666666667
2005,10,11.1,7.351967741935484
2005,11,5.1,10.216333333333331
2005,12,-3.5,12.22761290322581
2006,1,0.2,13.46558064516129
2006,2,-3.6,14.324964285714282
2006,3,1.3,14.420967741935483
2006,4,8.2,13.905866666666668
2006,5,14.4,12.517354838709673
2006,6,19.8,10.919499999999998
2006,7,23.4,8.459838709677417
2006,8,21.1,6.4956129032258065
2006,9,15.7,5.862433333333333
2006,10,8.7,7.541096774193549
2006,11,5.3,9.658733333333336
2006,12,1.9,11.954677419354837
2007,1,-2.9,13.703032258064518
2007,2,-8.4,14.513249999999998
2007,3,0.4,14.54209677419355
2007,4,6.1,13.845200000000002
2007,5,14.3,12.779677419354838
2007,6,20.8,11.22006666666667
2007,7,21.3,7.94283870967742
2007,8,22.4,5.3423225806451615
2007,9,18.4,4.267266666666667
2007,10,14.2,6.039709677419354
2007,11,2.6,9.760166666666665
2007,12,-2.3,12.033967741935486
2008,1,-2.1,13.887258064516129
2008,2,-5.3,14.953448275862069
2008,3,-1.7,15.178903225806453
2008,4,9.5,14.351933333333337
2008,5,11.8,12.973999999999998
2008,6,19.6,11.208333333333336
2008,7,21.5,8.677935483870966
2008,8,19.7,5.913064516129031
2008,9,16.9,4.687433333333334
2008,10,9.0,7.349870967741936
2008,11,2.9,10.342866666666668
2008,12,-3.1,12.358483870967742
2009,1,-8.8,13.913709677419355
2009,2,-3.7,14.811535714285716
2009,3,0.8,14.983612903225806
2009,4,7.8,14.495633333333332
2009,5,13.1,13.186709677419353
2009,6,17.5,11.320266666666663
2009,7,19.2,8.465451612903225
2009,8,20.6,6.135741935483873
2009,9,16.9,5.261633333333333
2009,10,8.7,6.92032258064516
2009,11,6.0,9.771733333333334
2009,12,-2.4,12.199870967741937
2010,1,-5.2,13.73906451612903
2010,2,-3.4,14.581428571428571
2010,3,4.4,15.136709677419354
2010,4,10.5,14.658733333333338
2010,5,16.0,12.866096774193545
2010,6,19.2,10.5851
2010,7,23.3,8.074677419354838
2010,8,22.4,5.8749032258064515
2010,9,16.4,4.865066666666667
2010,10,10.2,6.9839032258064515
2010,11,4.5,9.613966666666668
2010,12,-3.8,11.83083870967742
2011,1,-7.0,13.463967741935484
2011,2,-5.4,14.363035714285713
2011,3,-0.5,14.546516129032263
2011,4,6.9,14.1078
2011,5,14.1,12.680774193548393
2011,6,19.1,10.748666666666667
2011,7,24.4,7.724387096774193
2011,8,21.9,5.502451612903226
